username,time,msg,gift,num
衬衫没干,2021-01-29 21:57:40,,虎粮,10
花气球,2021-01-29 21:57:41,组个队友,,
迷茫,2021-01-29 21:57:42,,虎粮,1
星期一,2021-01-29 21:57:47,今天胜率怎么样,,
捡破烂的大宝,2021-01-29 21:57:50,直播带的影响，我现在重坦也不冲锋了,,
狂鸟丶䰥災…,2021-01-29 21:57:56,,虎粮,10
色 …,2021-01-29 21:58:04,,虎粮,30
yangt…,2021-01-29 21:58:12,,虎粮,45
ㄣ拥抱、熟悉的,2021-01-29 21:58:19,mt干啥啥不行，抢肉第一名,,
SxL.,2021-01-29 21:58:19,又掉回去了,,
哎！惆怅吖~~~~~,2021-01-29 21:58:34,这年头冲的太前 冤队友 后面黑枪 队友冤,,
童灿是大头,2021-01-29 21:58:34,,虎粮,51
King,2021-01-29 21:58:42,我老账号怎么找回来啊,,
旧都国人,2021-01-29 21:58:44,,虎粮,30
大溪沟土匪,2021-01-29 21:58:44,,虎粮,10
大溪沟土匪,2021-01-29 21:58:46,,虎粮,30
大溪沟土匪,2021-01-29 21:58:48,,虎粮,10
大溪沟土匪,2021-01-29 21:58:48,,虎粮,1
tankLYK,2021-01-29 21:58:50,183精度多少,,
大溪沟土匪,2021-01-29 21:58:52,,虎粮,1
R-Sha…,2021-01-29 21:58:58,,虎粮,52
你的微笑、…,2021-01-29 21:59:04,,虎粮,10
King,2021-01-29 21:59:15,我老账号怎么找回来重新绑定啊？,,
♥永远♥,2021-01-29 21:59:15,,虎粮,1
SxL.,2021-01-29 21:59:17,我记得是.4几的精度,,
♥永远♥,2021-01-29 21:59:19,,虎粮,1
对你微笑，纯属礼貌,2021-01-29 21:59:19,数据继承,,
初一,2021-01-29 21:59:24,,虎粮,1
旧都国人,2021-01-29 21:59:26,,虎粮,12
♥永远♥,2021-01-29 21:59:32,,虎粮,1
大圣来也,2021-01-29 21:59:32,,虎粮,66
初一,2021-01-29 21:59:32,,虎粮,1
天月将白℡,2021-01-29 21:59:34,玩这游戏 有新熟正常啊,,
沧海水,2021-01-29 21:59:34,,虎粮,74
范特夕,2021-01-29 21:59:40,4005和183打法有什么不同,,
