username,time,msg,gift,num
左岸，落叶,2021-02-21 20:57:48,哈哈哈哈,,
回防,2021-02-21 20:57:48,肯定是那个批人,,
港,2021-02-21 20:57:48,没错就是我举报的，哈哈,,
ALKX真心最后换来满身殇痕,2021-02-21 20:57:49,永久也行,,
Katie,2021-02-21 20:57:49,灿 别 手软,,
我有一个小苹果,2021-02-21 20:57:49,大哥，小心点啊,,
九鼎,2021-02-21 20:57:51,66666666666,,
Z,2021-02-21 20:57:52,哈哈哈哈。,,
威武霸气短小漠,2021-02-21 20:57:54,C类,,
骚跑家的白少,2021-02-21 20:57:57,十年套餐,,
旧约o,2021-02-21 20:57:59,刷礼物可以解开吗,,
Not afraid,2021-02-21 20:57:59,C类？？不是B类么,,
xiaob…,2021-02-21 20:57:59,,虎粮,1
xiaob…,2021-02-21 20:58:01,,虎粮,1
梅耶,2021-02-21 20:58:01,好家伙直接c类了？,,
照衫,2021-02-21 20:58:03,严惩凶手,,
willi…,2021-02-21 20:58:03,,虎粮,10
xiaob…,2021-02-21 20:58:03,,虎粮,1
Katie,2021-02-21 20:58:05,就封他365,,
默沉,2021-02-21 20:58:05,我居然来晚了一步,,
若往事丶随风,2021-02-21 20:58:05,我举报的封我,,
川熊熊,2021-02-21 20:58:05,这转嫁怒火,,
,2021-02-21 20:58:07,,,
Boy in the Thorns,2021-02-21 20:58:07,小包都是一年封,,
骚跑家的白少,2021-02-21 20:58:07,哈哈哈,,
你哭泣是我的耻辱,2021-02-21 20:58:07,集资,,
姓福呀,2021-02-21 20:58:08,,虎粮,10
木易小哥,2021-02-21 20:58:08,你这心态不够啊！！,,
妈那个巴子…,2021-02-21 20:58:08,,虎粮,1
大蛋蛋哥哥,2021-02-21 20:58:10,童灿，骂我,,
xiaob…,2021-02-21 20:58:10,,虎粮,1
郑晨光,2021-02-21 20:58:10,接十年套餐得了,,
妈那个巴子…,2021-02-21 20:58:13,,虎粮,1
高 空,2021-02-21 20:58:16,封一个月他也不会谢谢你,,
君哥,2021-02-21 20:58:16,一个藏宝图解封,,
兵工厂╲并╬州╱『野ゞ蛮ゞ人』,2021-02-21 20:58:16,,,
我是一颗小虎牙,2021-02-21 20:58:23,怂，要是我直接就是一辈子,,
Professional-FGD,2021-02-21 20:58:23,封得好！自家粉丝真是服了,,
清风,2021-02-21 20:58:23,整挺好,,
￡噬≯心,2021-02-21 20:58:26,就这,,
ฮีซอล,2021-02-21 20:58:26,,虎粮,30
ALKX真心最后换来满身殇痕,2021-02-21 20:58:26,直接永久,,
岽辕丿辰轩,2021-02-21 20:58:30,下个月，他还来带节奏…………,,
兵工厂╲并…,2021-02-21 20:58:30,,虎粮,85
贾玖,2021-02-21 20:58:30,什么钟,,
小孙,2021-02-21 20:58:34,扣多少钱？,,
山楂冰糖,2021-02-21 20:58:34,又扣钱了？,,
呼哈,2021-02-21 20:58:34,C类不扣钱,,
空白,2021-02-21 20:58:37,这把又没了,,
矢去旳[兲…,2021-02-21 20:58:41,,虎粮,30
紫色微雨,2021-02-21 20:58:41,,爆竹,10
看起来很好吃,2021-02-21 20:58:41,B类扣工资吗?,,
矢去旳[兲…,2021-02-21 20:58:42,,虎粮,30
👽怎言笑╰阿杰╯,2021-02-21 20:58:46,漂亮漂亮 干得漂亮,,
APP,2021-02-21 20:58:46,扣200,,
独白,2021-02-21 20:58:46,就给了啊,,
橡皮大仙,2021-02-21 20:58:46,封一年多好,,
