username,time,msg,gift,num
班迪不听电,2021-02-05 20:59:44,？？,,
骚浪大保健,2021-02-05 20:59:45,,虎粮,10
班迪不听电,2021-02-05 20:59:55,骚骡子呢,,
我是一颗小虎牙,2021-02-05 21:00:05,又拉了,,
班迪不听电,2021-02-05 21:00:24,,虎粮,30
班迪不听电,2021-02-05 21:00:25,,虎粮,10
活光丶,2021-02-05 21:00:35,,虎粮,3
一 如…,2021-02-05 21:00:35,,虎粮,15
大秦丨荣耀,2021-02-05 21:00:46,,虎粮,30
流年,2021-02-05 21:00:46,是不是阳性了,,
大秦丨荣耀,2021-02-05 21:00:46,,虎粮,10
大秦丨荣耀,2021-02-05 21:00:46,,虎粮,10
我和老骚对…,2021-02-05 21:01:18,,虎粮,30
逍遥de军…,2021-02-05 21:03:12,,虎粮,47
黑色旋律,2021-02-05 21:03:21,,虎粮,1
szmlr…,2021-02-05 21:03:31,,虎粮,1
抓财小手,2021-02-05 21:03:51,,虎粮,66
抓财小手,2021-02-05 21:04:00,,虎粮,30
抓财小手,2021-02-05 21:04:00,,虎粮,10
抓财小手,2021-02-05 21:04:00,,虎粮,1
抓财小手,2021-02-05 21:04:01,,虎粮,1
我是一颗小虎牙,2021-02-05 21:04:11,拉了,,
不抄完法条…,2021-02-05 21:04:23,,虎粮,10
还是看骚哥…,2021-02-05 21:04:36,,虎粮,40
凋零,2021-02-05 21:05:31,?????,,
皮蛋和毛球…,2021-02-05 21:05:31,,虎粮,26
徽记小圆盾,2021-02-05 21:05:43,,虎粮,1
徽记小圆盾,2021-02-05 21:05:43,,虎粮,1
徽记小圆盾,2021-02-05 21:05:43,,虎粮,10
徽记小圆盾,2021-02-05 21:05:43,,虎粮,10
起风了,2021-02-05 21:05:54,,虎粮,10
徽记小圆盾,2021-02-05 21:05:55,,虎粮,10
羊丶仔,2021-02-05 21:06:08,又旷工啦？,,
起风了,2021-02-05 21:06:08,,虎粮,10
,2021-02-05 21:06:21,,虎粮,
我是一颗小…,2021-02-05 21:06:21,,虎粮,10
起风了,2021-02-05 21:06:21,,虎粮,10
我是一颗小…,2021-02-05 21:06:21,,虎粮,10
老骚的未来…,2021-02-05 21:06:32,,虎粮,30
roger…,2021-02-05 21:06:33,,虎粮,10
老骚的未来…,2021-02-05 21:06:33,,虎粮,10
roger…,2021-02-05 21:06:33,,虎粮,10
roger…,2021-02-05 21:06:33,,虎粮,1
roger…,2021-02-05 21:06:43,,虎粮,1
毁寂,2021-02-05 21:06:44,,虎粮,10
毁寂,2021-02-05 21:06:54,,虎粮,1
毁寂,2021-02-05 21:06:54,,虎粮,1
十年坦克老…,2021-02-05 21:07:25,,虎粮,1
十年坦克老…,2021-02-05 21:07:36,,虎粮,1
十年坦克老…,2021-02-05 21:07:36,,虎粮,1
Yolan…,2021-02-05 21:07:46,,虎粮,40
风流倜傥一…,2021-02-05 21:07:46,,虎粮,30
风流倜傥一…,2021-02-05 21:07:56,,虎粮,10
风流倜傥一…,2021-02-05 21:07:57,,虎粮,10
羊猪蛇,2021-02-05 21:08:27,,虎粮,39
灰机灰常灰,2021-02-05 21:08:58,今天不播？？,,
*奔小康*,2021-02-05 21:09:19,,虎粮,30
*奔小康*,2021-02-05 21:09:19,,虎粮,10
*奔小康*,2021-02-05 21:09:19,,虎粮,10
团爷粉丝,2021-02-05 21:09:29,回放,,
黑化肥发黑…,2021-02-05 21:10:00,,虎粮,1
墨云,2021-02-05 21:10:12,,虎粮,1
剑凰-无双,2021-02-05 21:10:21,,虎粮,5
墨云,2021-02-05 21:10:45,,虎粮,29
灰机灰常灰,2021-02-05 21:10:54,回老家了？,,
狼王-v-强,2021-02-05 21:11:05,拉到裤子里的熊种玩意,,
仙童 -,2021-02-05 21:11:15,,虎粮,10
仙童 -,2021-02-05 21:11:16,1,,
改名字就是…,2021-02-05 21:11:34,,虎粮,1
我是一个小苹果,2021-02-05 21:11:34,举报了,,
改名字就是…,2021-02-05 21:11:44,,虎粮,1
改名字就是…,2021-02-05 21:11:44,,虎粮,10
落一叶而知…,2021-02-05 21:12:16,,虎粮,30
无所畏惧的…,2021-02-05 21:12:16,,虎粮,75
老骚只有一…,2021-02-05 21:12:55,,虎粮,31
我是一颗小…,2021-02-05 21:12:55,,虎粮,50
大仙家的小…,2021-02-05 21:13:26,,虎粮,1
我是一颗小虎牙,2021-02-05 21:13:26,房管呢，出来说一下,,
大仙家的小…,2021-02-05 21:13:36,,虎粮,1
Solos…,2021-02-05 21:14:15,,虎粮,30
特热热热热…,2021-02-05 21:16:07,,虎粮,30
★老莫★,2021-02-05 21:16:07,,虎粮,7
总是独行,2021-02-05 21:16:07,,虎粮,46
野人,2021-02-05 21:16:17,,虎粮,30
゛一碗孟婆汤ギ,2021-02-05 21:16:17,骚骡子 今天又怎么了,,
野人,2021-02-05 21:16:28,,虎粮,10
断弦儿的二…,2021-02-05 21:16:28,,虎粮,1
逍遥娃娃,2021-02-05 21:16:50,回老家了,,
久留,2021-02-05 21:17:01,,虎粮,30
"—__,—",2021-02-05 21:17:01,,虎粮,10
TOP战士,2021-02-05 21:17:25,,虎粮,1
TOP战士,2021-02-05 21:17:25,,虎粮,1
ɢᵒᵒᵈ …,2021-02-05 21:17:58,,虎粮,30
ɢᵒᵒᵈ …,2021-02-05 21:18:09,,虎粮,10
ɢᵒᵒᵈ …,2021-02-05 21:18:09,,虎粮,10
快乐小宝a…,2021-02-05 21:18:20,,虎粮,10
wyd,2021-02-05 21:18:43,,虎粮,30
巅峰丶壕沟,2021-02-05 21:18:43,,虎粮,10
wyd,2021-02-05 21:18:52,,虎粮,30
巅峰丶壕沟,2021-02-05 21:18:53,,虎粮,10
巅峰丶壕沟,2021-02-05 21:18:53,,虎粮,1
巅峰丶壕沟,2021-02-05 21:19:04,,虎粮,1
言中鹤-艾甫,2021-02-05 21:19:14,他说播得，放鸽子,,
老骚的第四个粉丝,2021-02-05 21:19:14,鸽了？,,
努力晨,2021-02-05 21:19:25,今天又被抓了吗,,
八宝山上唱…,2021-02-05 21:19:25,,虎粮,10
努力晨,2021-02-05 21:19:25,,虎粮,1
努力晨,2021-02-05 21:19:37,,虎粮,1
