County,HospitalID,MedicareFr,RPR,RER,r,R,r/R-1,actual penalty,current revenue
Alameda,50211,0.434490383,22.55682182,22.19083405,0.226,0.222,0.016,0.016,1.282
San Diego,50222,0.352274299,21.00420761,22.87171745,0.21,0.229,-0.082,0,1.266
Orange,50224,0.359497547,19.73167801,20.96341324,0.197,0.21,-0.059,0,1.246
Butte,50225,0.524964333,19.5066185,21.42737007,0.195,0.214,-0.09,0,1.242
Orange,50226,0.256793678,22.31527519,22.01771545,0.223,0.22,0.014,0.014,1.283
San Francisco,50228,0.201273412,19.93448257,19.90459824,0.199,0.199,0.002,0.002,1.249
Orange,50230,0.310779423,22.47234726,22.70224953,0.225,0.227,-0.01,0,1.29
Los Angeles,50231,0.206677496,23.34346581,23.93906212,0.233,0.239,-0.025,0,1.305
San Luis Obispo,50232,0.493415505,17.48280144,18.10923576,0.175,0.181,-0.035,0,1.212
Los Angeles,50235,0.420595556,22.62247276,22.22338486,0.226,0.222,0.018,0.018,1.283
Ventura,50236,0.368891686,22.89021111,22.79942513,0.229,0.228,0.004,0.004,1.295
Los Angeles,50238,0.471066117,19.48365974,21.7890625,0.195,0.218,-0.106,0,1.242
Los Angeles,50239,0.448460758,24.29512787,22.80913353,0.243,0.228,0.065,0.03,1.303
Santa Cruz,50242,0.425733387,16.94325638,18.74527931,0.169,0.187,-0.096,0,1.204
Riverside,50243,0.248880371,19.96706963,20.4469738,0.2,0.204,-0.023,0,1.249
San Bernardino,50245,0.098346017,21.69606209,21.01259804,0.217,0.21,0.033,0.03,1.273
El Dorado,50254,0.528377831,21.4587307,21.3063488,0.215,0.213,0.007,0.007,1.268
Tulare,50261,0.375779301,20.60704422,20.39746094,0.206,0.204,0.01,0.01,1.255
Los Angeles,50262,0.262513697,22.95664978,22.77725983,0.23,0.228,0.008,0.008,1.295
San Bernardino,50272,0.18563877,20.70374107,20.75984192,0.207,0.208,-0.003,0,1.261
Los Angeles,50278,0.300000161,23.03944588,23.03982735,0.23,0.23,0,0,1.299
Shasta,50280,0.451075703,17.02155495,19.49127579,0.17,0.195,-0.127,0,1.205
Los Angeles,50281,0.498231381,22.92711449,24.7796154,0.229,0.248,-0.075,0,1.297
Alameda,50283,0.379317641,18.78031158,19.4038868,0.188,0.194,-0.032,0,1.231
San Mateo,50289,0.360467583,22.79462051,22.29096985,0.228,0.223,0.023,0.023,1.285
Los Angeles,50290,0.449219435,21.03054237,21.59162712,0.21,0.216,-0.026,0,1.266
Sonoma,50291,0.329449713,16.30153465,18.71918106,0.163,0.187,-0.129,0,1.195
San Bernardino,50300,0.267950803,22.87187767,21.67035484,0.229,0.217,0.055,0.03,1.286
Alameda,50305,0.254037648,20.19015694,20.68787384,0.202,0.207,-0.024,0,1.253
Santa Clara,50308,0.397629619,18.97271347,20.5803566,0.19,0.206,-0.078,0,1.234
Placer,50309,0.334398001,18.56837845,20.88486481,0.186,0.209,-0.111,0,1.228
San Diego,50324,0.304937184,19.60987473,20.36652756,0.196,0.204,-0.037,0,1.244
San Bernardino,50327,0.210276425,22.89609528,22.02906609,0.229,0.22,0.039,0.03,1.289
Riverside,50329,0.319760114,23.41534233,22.12532234,0.234,0.221,0.058,0.03,1.293
Monterey,50334,0.44455412,20.19343758,20.90639877,0.202,0.209,-0.034,0,1.253
Tuolumne,50335,0.542307317,18.3989048,20.10469437,0.184,0.201,-0.085,0,1.225
San Joaquin,50336,0.461682439,20.09636497,20.45681763,0.201,0.205,-0.018,0,1.252
Imperial,50342,0.298559159,20.91604424,20.5962677,0.209,0.206,0.016,0.016,1.259
Orange,50348,0.2559506,22.49891853,22.09756851,0.225,0.221,0.018,0.018,1.284
Los Angeles,50351,0.293799162,21.86878204,21.02391052,0.219,0.21,0.04,0.03,1.269
Los Angeles,50353,0.323015451,22.78001595,21.61851501,0.228,0.216,0.054,0.03,1.282
Tulare,50359,0.304308653,21.3928566,19.33883858,0.214,0.193,0.106,0.03,1.261
Marin,50360,0.477453381,19.04902267,19.58335114,0.19,0.196,-0.027,0,1.235
Solano,50367,0.31942451,22.96714783,21.47768593,0.23,0.215,0.069,0.03,1.286
Los Angeles,50376,0.078566432,22.49050522,22.20000076,0.225,0.222,0.013,0.013,1.289
Santa Clara,50380,0.352813482,18.46193695,19.96763039,0.185,0.2,-0.075,0,1.226
Riverside,50390,0.333832085,20.88527679,21.92720795,0.209,0.219,-0.048,0,1.264
Los Angeles,50393,0.286617458,23.29040718,23.86846352,0.233,0.239,-0.024,0,1.304
Ventura,50394,0.309838355,18.84838486,20.68929672,0.188,0.207,-0.089,0,1.232
Santa Barbara,50396,0.401541114,17.58143044,19.75196075,0.176,0.198,-0.11,0,1.213
San Francisco,50407,0.31180355,17.64972115,17.13575363,0.176,0.171,0.03,0.03,1.203
Del Norte,50417,0.408498287,19.72538757,21.03993797,0.197,0.21,-0.062,0,1.246
Orange,50426,0.471464753,23.36526489,22.95467377,0.234,0.23,0.018,0.018,1.294
Los Angeles,50438,0.376733571,22.49935532,21.803442,0.225,0.218,0.032,0.03,1.276
Santa Clara,50441,0.317946017,19.49342537,20.63378906,0.195,0.206,-0.055,0,1.242
Merced,50444,0.400330931,23.67451668,22.71599388,0.237,0.227,0.042,0.03,1.294
San Francisco,50454,0.259644985,20.44853973,20.86897278,0.204,0.209,-0.02,0,1.257
Kern,50455,0.256445765,25.03299332,22.90159798,0.25,0.229,0.093,0.03,1.324
San Francisco,50457,0.451994181,20.20362663,20.19339371,0.202,0.202,0.001,0.001,1.253
Stanislaus,50464,0.27006036,20.6071701,21.11828995,0.206,0.211,-0.024,0,1.26
Los Angeles,50471,0.37968111,24.53898048,22.90945816,0.245,0.229,0.071,0.03,1.31
Los Angeles,50481,0.458705604,20.69000053,21.41770172,0.207,0.214,-0.034,0,1.261
Los Angeles,50485,0.322100699,23.31301689,22.46129417,0.233,0.225,0.038,0.03,1.291
Alameda,50488,0.352689594,22.11745834,22.13152504,0.221,0.221,-0.001,0,1.284
Fresno,50492,0.198368311,17.08893204,18.65744209,0.171,0.187,-0.084,0,1.206
Contra Costa,50496,0.404105753,21.15860176,22.8356266,0.212,0.228,-0.073,0,1.268
Placer,50498,0.413139462,20.50876236,21.0072155,0.205,0.21,-0.024,0,1.258
Los Angeles,50502,0.5606727,20.87688446,22.33758736,0.209,0.223,-0.065,0,1.264
San Diego,50503,0.337127686,19.62107468,20.384161,0.196,0.204,-0.037,0,1.244
San Luis Obispo,50506,0.292372763,18.6656723,18.45134354,0.187,0.185,0.012,0.012,1.225
